English Word,True Transliteration,Predicted Transliteration
gujarte,गुजारते,गुजरते
gujarana,गुजारना,गुजरना
gujarna,गुजारना,गुजरना
gujara,गुजारा,गुजरा
gujare,गुजारे,गुजरे
gutta,गुट्टा,गुट्ता
gthalidar,गुठलीदार,ग्थलीदार
guthalidar,गुठलीदार,गुथलीदार
gudna,गुदना,गुदना
gumaan,गुमान,गुमान
guman,गुमान,गुमान
gulshan,गुलशन,गुलशन
gunga,गूंगा,गुंगा
grihnagar,गृहनगर,गृहनगर
gruhnagar,गृहनगर,गृहनगर
galaxion,गैलेक्सियों,गैलक्शियों
galaxiyon,गैलेक्सियों,गैलक्सियों
galaxyon,गैलेक्सियों,गैलक्सियों
gochar,गोचर,गोचार
gouchar,गोचर,गुचार
godara,गोदारा,गोडारा
gopichand,गोपीचंद,गोपीचंद
gomake,गोमके,गोमके
gomke,गोमके,गोमके
goel,गोयल,गोएल
goyal,गोयल,गोयाल
gosvaami,गोस्वामी,गोस्वामी
gosvami,गोस्वामी,गोस्वामी
goswami,गोस्वामी,गोस्वामी
gaumukh,गौमुख,गौमुख
gomukh,गौमुख,गोमुख
gaumutr,गौमूत्र,गौमूत्र
gaumutra,गौमूत्र,गौमूत्र
gowmutra,गौमूत्र,गौम्मुत्र
granthiyaan,ग्रंथियां,ग्रंथियां
granthiyan,ग्रंथियां,ग्रंथियां
grandhiyon,ग्रंथियों,ग्रांधियों
granthiyon,ग्रंथियों,ग्रंथियों
greest,ग्रीस्ट,ग्रीस्ट
greist,ग्रीस्ट,ग्रेस्ट
grist,ग्रीस्ट,ग्रिस्ट
greg,ग्रेग,ग्रेग
granite,ग्रेनाइट,ग्रेनिट
grenite,ग्रेनाइट,ग्रेनिट
grandson,ग्रैंडसन,ग्रैंडसन
gross,ग्रॉस,ग्रॉस
ghataatop,घटाटोप,घटाटोप
ghatatop,घटाटोप,घटाटोप
ghataayaa,घटाया,घटाया
ghataya,घटाया,घटाया
ghanakar,घनाकार,घनाकर
ghabrahat,घबराहट,घबराहट
ghasi,घासी,घसी
ghisai,घिसाई,घीसाई
ghisi,घिसी,घीसी
ghise,घिसे,घीसे
ghumakkadi,घुमक्कड़ी,घूमक्कड़ी
ghumakkdi,घुमक्कड़ी,घूमक्की
ghumakkadon,घुमक्कड़ों,घूमक्कड़ों
ghumakkaron,घुमक्कड़ों,घूमक्कारों
ghumakkdon,घुमक्कड़ों,घूमक्कड़ों
ghummakkadon,घुमक्कड़ों,घूम्मक्कड़ों
ghumaan,घुमाण,घूमान
ghuman,घुमाण,घूमन
ghoonsa,घूंसा,घूंसा
ghunsa,घूंसा,घुंसा
ghongha,घोंघा,घोंघा
ghontane,घोंटने,घोंटाने
ghontne,घोंटने,घोंटने
ghot,घोट,घोट
ghodi,घोड़ी,घोड़ी
ghost,घोस्ट,घोस्ट
changul,चंगुल,चाग्लूल
chand,चंद,चांद
chandan,चंदन,चंदन
chandana,चंदन,चंदना
chandu,चंदू,चंदु
chandon,चंदों,चांडों
chandrabali,चंद्रबली,चंद्रबली
chandramaon,चंद्रमाओं,चंद्रमाओं
chakatte,चकत्ते,चकत्ते
chaktte,चकत्ते,चक्टे
chakkar,चक्कर,चक्कर
chkkar,चक्कर,चकर
chakshu,चक्षु,चक्षु
chatagaon,चटगांव,चटागां
chatgaon,चटगांव,चतगांव
chadhane,चढ़ने,चढ़ाने
chadhne,चढ़ने,चढ़ने
chaturdik,चतुर्दिक,चतुर्दिक
chatunshkoniy,चतुष्कोणीय,चतुंशकोनिय
chatushkoniy,चतुष्कोणीय,चतुश्कोनिय
chatushkoniya,चतुष्कोणीय,चतुश्कोनिया
channa,चन्ना,चनना
chabate,चबाते,चबते
chabutare,चबूतरे,चाबूतरे
chabutre,चबूतरे,चाबुत्रे
chamakna,चमकना,चमकना
chamkana,चमकना,चमकाना
charas,चरस,चर्स
charit,चरित,चरित
charcha,चर्चा,चर्चा
churcha,चर्चा,चर्चा
charchaon,चर्चाओं,चर्चाओं
chalenge,चलेंगे,चलेंगे
chlenge,चलेंगे,च्लेंगे
chahunaur,चहुंओर,चाहुनौर
chahunor,चहुंओर,चाहूनर
chanval,चांवल,चनवाल
chanwal,चांवल,चनवाल
chachaji,चाचाजी,चाचाजी
chadar,चादर,चादर
chadaron,चादरों,चडरार
chadron,चादरों,चाद्रों
chan,चान,चैन
chanan,चानन,चनन
chaplusi,चापलूसी,चैपलुसी
chayal,चायल,चयाल
char,चार,चार
charon,चारों,चारों
charge,चार्ज,चार्ज
chart,चार्ट,चार्ट
charton,चार्टों,चार्टन
charts,चार्ट्स,चार्ट्स
chaalit,चालित,चालित
chalit,चालित,चलित
chikitsak,चिकित्सक,चिकित्सा
chikitsakon,चिकित्सकों,चिकित्सकों
chikhali,चिखली,चीखली
chiththi,चिट्ठी,चित्ती
chitthi,चिट्ठी,चिट्ठी
chithhi,चिठ्ठी,चितही
chiththi,चिठ्ठी,चित्ती
chitthi,चिठ्ठी,चिट्ठी
chidchidapan,चिडचिडापन,चिड़चिड़ापन
chidchidapan,चिड़चिड़ापन,चिड़चिड़ापन
chidhate,चिढ़ते,चिढ़ते
chidhte,चिढ़ते,चिढ़ते
chithrkar,चित्रकार,चित्रकर
chitrkar,चित्रकार,चित्रकर
chipakane,चिपकने,चिपकने
chipakne,चिपकने,चिपकने
chipkane,चिपकने,चिपकाने
chimati,चिमटी,चिमटी
chimti,चिमटी,चिमटी
chillane,चिल्लाने,चिल्नेन
chee,ची,चीई
chi,ची,ची
chuka,चुका,चूका
chune,चुने,चूने
chunar,चूनर,चुनार
changed,चेंज्ड,चेंज्ड
chetti,चेट्टी,चेट्टी
chennai,चेन्नई,चेननी
chero,चेरो,चेरो
chest,चेस्ट,चेस्ट
championship,चैंपियनशिप,चैंपियशंचिप
chor,चोर,चौर
choro,चोरों,चोरो
choron,चोरों,चोरों
chauk,चौक,चौक
chowk,चौक,चौक
chauka,चौका,चौका
chuka,चौका,चूका
chaukiyan,चौकियां,चौकियां
chauki,चौकी,चौकी
chaukhate,चौखटे,चौखते
chauguni,चौगुनी,चौगुनी
chauda,चौड़ा,चौड़ा
chaudah,चौड़ा,चौदह
chaudahavan,चौदहवां,चौदहवन
chaudhavan,चौदहवां,चौधवन
chaudhawan,चौदहवां,चौधवन
chaupati,चौपाटी,चौपाती
chupaty,चौपाटी,छुपत्य
chaupal,चौपाल,चौपाल
chaurai,चौरई,चौराई
chausinga,चौसिंगा,चौसिंगा
chausingha,चौसिंगा,चौसिंघल
chhagan,छगन,छगन
chhabi,छबि,छाबी
chhalla,छल्ला,छल्ला
chhallaa,छल्ला,छल्ला
chhaviyaan,छवियाँ,छवियां
chhaviyan,छवियाँ,छवियां
chhavi,छवी,छावी
cheh,छह,चेह
chhah,छह,छाह
chehon,छहों,चेहों
chhahon,छहों,छां
chhai,छाई,छाई
chhagla,छागला,छगला
chhajan,छाजन,छजन
chhaati,छाती,छाती
chhati,छाती,छती
chhaapemaar,छापेमार,छापेमार
chhapemar,छापेमार,छपेमार
chheenk,छींक,छींक
chhink,छींक,छींक
chink,छींक,चींक
chenkein,छींके,चेंकें
chhekein,छींके,छेकें
chhinke,छींके,छीनके
chhinky,छींके,छींकी
chinke,छींके,चिनके
chhudaane,छुडाने,छुड़ाने
chhudane,छुडाने,छुड़ाने
chhupakar,छुपकर,छुपाकर
chhupkar,छुपकर,छुप्कर
chhupkr,छुपकर,छुप्पर
chhupata,छुपता,छुपाता
chhupta,छुपता,छुप्टा
chhuptaa,छुपता,छुप्टा
chhura,छुरा,छुड़ा
chhuraa,छुरा,छुड़ा
chhuree,छुरी,छुर्री
chhuri,छुरी,छुड़ी
chhure,छुरे,छुड़े
chhootane,छूटने,छूटने
chhutane,छूटने,छुटाने
chhutne,छूटने,छुटने
chheter,छेत्र,छितर
chhetr,छेत्र,छेत्र
chhetter,छेत्र,छेत्टर
chhetri,छेत्री,छेत्री
chhetthari,छेत्री,छेट्ठारी
chhetthri,छेत्री,छेट्ठरी
chai,छै,चाय
chhai,छै,छाई
chhe,छै,छे
jagaega,जगाएगा,जगागा
jagayega,जगाएगा,जगाएगा
jaghaega,जगाएगा,जगहागा
jgaayega,जगाएगा,जगाएगा
jgayegaa,जगाएगा,जगाएगा
jajaon,जजों,जजाओं
jajon,जजों,जाजों
jad,जड़,जाद
jadd,जड़,जड़
jaddit,जड़ित,जाद्दीत
jadeite,जड़ित,जड़ीते
jadet,जड़ित,जेडेट
jadit,जड़ित,जादित
jadein,जड़ें,जादें
jaden,जड़ें,जादें
jatara,जतरा,जतारा
jatra,जतरा,जात्रा
jataati,जताती,जटाती
jatatee,जताती,जताती
jatati,जताती,जताती
janagananaa,जनगणना,जनगनना
janaganna,जनगणना,जनगन्ना
jangadnaa,जनगणना,जांगदना
janganana,जनगणना,जांगनाना
janganna,जनगणना,जांगनना
janajagran,जनजागरण,जनजग्रण
janjaagran,जनजागरण,जनजाग्रण
janjagran,जनजागरण,जनजग्रण
january,जनवरी,जनुनाय
janahaani,जनहानि,जनहानी
janahani,जनहानि,जनहनी
janhaani,जनहानि,जनहानी
janhani,जनहानि,जनहनी
jnhaani,जनहानि,जनहानी
jamaate,जमाती,जमाते
jamaati,जमाती,जमाती
jamati,जमाती,जमती
jamaaya,जमाया,जमाया
jamaeya,जमाया,जमाएया
jamaya,जमाया,जमाया
jamayaa,जमाया,जमाया
jamuai,जमुई,जामुई
jamuei,जमुई,जमूई
jamui,जमुई,जामूई
jai,जय,जाई
jay,जय,जाय
jaidayal,जयदयाल,जयदायल
jayadayal,जयदयाल,जयदायल
jaydayal,जयदयाल,जयदायल
jaibaan,जयबाण,जयबान
jaiban,जयबाण,जयबन
jaybaan,जयबाण,जयबान
jayalalita,जयललिता,जयालालिता
jayalalitaa,जयललिता,जयालालिता
jayalalithaa,जयललिता,जयालालिथा
jaylalita,जयललिता,जयलालिता
jarakh,जरख,जराख
zarakh,जरख,जराख
jarda,जर्दा,जर्दा
jardaa,जर्दा,जर्दा
zarda,जर्दा,जर्दा
jalagati,जलगति,जालागति
jalgati,जलगति,जलगाति
jalgti,जलगति,जलगती
jalte,जलते,जलते
jalbharav,जलभराव,जलभरण
jalbhraav,जलभराव,जलभराव
jalbhrav,जलभराव,जलभराव
jalvaayu,जलवायु,जलवायु
jalvayu,जलवायु,जलवायु
jalesar,जलेसर,जालेसर
jasmeet,जसमीत,जसमीत
jasmit,जसमीत,जस्मीत
jassee,जस्सी,जस्सी
jassi,जस्सी,जसिसी
jamaanaa,ज़माना,जमाना
jamana,ज़माना,जमाना
zamaanaa,ज़माना,ज़माना
zamana,ज़माना,ज़माना
jaljale,ज़लज़ले,जलजले
zalzale,ज़लज़ले,ज़लजले
zee,ज़ी,जी
jubaan,ज़ुबान,जुबान
juban,ज़ुबान,जुबान
zuban,ज़ुबान,जुबान
jaanch,जाँच,जांच
jaaunch,जाँच,जाऊंच
janch,जाँच,जांच
jaunch,जाँच,जौंच
jaagriti,जागृति,जागृति
jagriti,जागृति,जागृति
jagruti,जागृति,जागृति
jajamau,जाजमऊ,जजमाऊ
jajmau,जाजमऊ,जजमाऊ
jajmauu,जाजमऊ,जजमाऊ
jaat,जात,जाट
jat,जात,जाट
jaatak,जातक,जाटक
jatak,जातक,जटक
jaatakon,जातकों,जाटकों
jaatkon,जातकों,जातकों
jatakon,जातकों,जटकों
jaatiyon,जातियों,जातियों
jatiyon,जातियों,जातियों
jaankaaron,जानकारों,जानकारों
jaankaron,जानकारों,जानकरों
jankaron,जानकारों,जानकरों
jaanam,जानम,जान्म
janam,जानम,जन्म
jaayke,जायके,जायके
jayke,जायके,जायके
jaawar,जावर,जावर
zawar,जावर,जवार
jing,जिंग,जिंग
gin,जिन,गिन
jeen,जिन,जीण
jin,जिन,जीन
ginee,जिनी,गिनी
jinee,जिनी,जिनी
jini,जिनी,जिनी
geneva,जिनीवा,जेनेवा
jeneva,जिनीवा,जिनेवा
jiniva,जिनीवा,जिनीवा
gypsy,जिप्सी,जिप्सी
jimme,जिम्मे,जिम्मे
jiya,जिया,जीया
gic,जीआईसी,जीईसी
gr,जीआर,गीआर
gm,जीएम,जीएम
gsm,जीएसएम,जीएम
gtod,जीतोड़,ग्टॉड
gtor,जीतोड़,ग्टॉर
jeetod,जीतोड़,जीतोड
jitod,जीतोड़,जीतोड
jean,जीन,जीन
jeen,जीन,जीण
jin,जीन,जीन
jeenon,जीनों,जीनों
jinon,जीनों,जीनों
jeepney,जीपनी,जीपने
jipani,जीपनी,जिपनी
jeeyo,जीयो,जीयो
jio,जीयो,जिओ
jiyo,जीयो,जीयो
jeera,जीरा,जीरा
jira,जीरा,जीरा
jeevant,जीवंत,जीवनत
jivant,जीवंत,जीवनत
jeevan,जीवन,जीवन
jeewan,जीवन,जीवन
jivan,जीवन,जीवन
jiwan,जीवन,जीवन
jeevanshaili,जीवनशैली,जीवनशैली
jivanshaili,जीवनशैली,जीवनशैली
jeevniyaan,जीवनियां,जीवनियां
jivaniya,जीवनियां,जीवनिय
jivaniyaan,जीवनियां,जीवनियां
jivaniyan,जीवनियां,जीवनियां
jeevraaj,जीवराज,जीवराज
jivraj,जीवराज,जीवराज
jua,जुए,जु
jue,जुए,जू
juye,जुए,जुए
jutee,जुटी,जूती
juti,जुटी,जूती
judaai,जुड़ाई,जुडाई
judae,जुड़ाई,जुडाई
judai,जुड़ाई,जुडाई
judaai,जुदाई,जुडाई
judai,जुदाई,जुडाई
junoon,जुनून,जुनून
junun,जुनून,जुनुन
junooni,जुनूनी,जुनूनी
jununi,जुनूनी,जुनुनी
jubair,जुबेर,ज़ुबैर
juber,जुबेर,ज़ुबैर
zubair,जुबेर,ज़ुबैर
juraab,जुराब,जुराब
jurab,जुराब,जुराब
julaahon,जुलाहों,जुलाहों
julahon,जुलाहों,जुलाहों
julmon,जुल्मों,जुलमों
zulmon,जुल्मों,जुलमों
jood,जूड,जूद
jud,जूड,जुड़
junagadh,जूनागढ,जूनागढ़
junagarh,जूनागढ,जूनागढ़
junior,जूनियर,जूनियर
jealous,जूलूस,जीलोस
juloos,जूलूस,जुलूस
julus,जूलूस,जुलूस
jetha,जेठा,जेथा
jenner,जेनर,जेनर
generic,जेनरिक,जेनेरिक
jenrick,जेनरिक,जेनरिक
generat,जेनरेट,जनरेट
generate,जेनरेट,जनरेट
jenee,जेनी,जिनी
jenni,जेनी,जेनी
jenny,जेनी,जेनी
james,जेम्स,जम्स
jeremy,जेरेमी,जेरेमी
gerome,जेरोम,जेरोम
jerome,जेरोम,जेरोम
jacks,जैक्स,जैक्स
jain,जैन,जैन
gene,जैने,जेने
jaine,जैने,जैने
jaino,जैनों,जैनो
jainon,जैनों,जैनों
jerry,जैरी,जेरी
jasper,जैस्पर,जस्पर
jogging,जॉगिंग,जोगिंग
johnson,जॉनसन,जानसन
jobs,जॉब्स,जॉब्स
jockey,जोकि,जोकी
joki,जोकि,जोकी
jokhim,जोखिम,जोखिम
joddta,जोड़ता,जोड़ता
jodta,जोड़ता,जोडता
jorhta,जोड़ता,जोड़ता
jodiyon,जोड़ियों,जोड़ियों
jodo,जोड़ो,जोड़ो
jaun,जौं,जान
gyatavya,ज्ञातव्य,ज्ञातव्य
gyatvy,ज्ञातव्य,ज्ञातव्य
gyapit,ज्ञापित,ज्ञापित
jyotiba,ज्योतिबा,ज्योतिबा
joint,ज्वाइंट,जायंट
jvar,ज्वार,ज्वर
jwar,ज्वार,ज्वर
jvaaron,ज्वारों,जवारों
jvaron,ज्वारों,ज्वारों
jwaron,ज्वारों,ज्वारों
jewellers,ज्वेलर्स,ज्वेलर्स
jh,झ,झ
jha,झ,झा
jhalakti,झलकती,झलकति
jhalkati,झलकती,झलकती
jhalla,झल्ला,झल्ला
jhankana,झांकना,झांकाना
jhankna,झांकना,झंकना
jheel,झील,झील
jhil,झील,झील
jheelon,झीलों,झीलों
jhilon,झीलों,झिलों
jhuthala,झुठला,झुठला
jhuthla,झुठला,झुठला
jhuthalane,झुठलाने,झुठलने
jhuthlane,झुठलाने,झुठलने
tankaar,टंकार,टंकार
tankar,टंकार,टंकर
takara,टकरा,टकरा
takra,टकरा,टकरा
takaraon,टकरावों,ताकराओं
takravon,टकरावों,तकरावों
tapakti,टपकती,तपकती
tapkati,टपकती,तापकती
time,टाइम,टाईम
timer,टाइमर,टाइमर
taoo,टाऊ,टाऊ
tau,टाऊ,ताऊ
tapoowo,टापुओं,टापूवो
tapuon,टापुओं,तापूओं
tapuwo,टापुओं,तपूवो
tied,टायर्ड,टायड
tired,टायर्ड,तिर्ड
tyred,टायर्ड,टायर्ड
tarch,टार्च,ट्र्च
torch,टार्च,टॉर्च
tik,टिक,टीक
teap,टिप,टीप
tip,टिप,टीप
tippanikar,टिप्पणीकार,टिप्पणिकार
tippnikar,टिप्पणीकार,टिप्पनिकार
tivolee,टिवोली,तिवोली
tivoli,टिवोली,तिवोली
teekamgarh,टीकमगढ़,तीकंगढ़
tikamgarh,टीकमगढ़,तीकंगढ़
teekon,टीकों,टीकों
tikon,टीकों,टीकों
two,टु,टू
tension,टेंशन,टेंसन
tenis,टेनिस,टेनिस
tennis,टेनिस,टेनिस
taste,टेस्ट,तस्ते
test,टेस्ट,टेस्ट
tasting,टेस्टिंग,टास्टिंग
testing,टेस्टिंग,टेस्टिंग
tainin,टैनिन,टैनिन
tenin,टैनिन,टेनिन
tanish,टैनिस,तनिश
tennis,टैनिस,टेनिस
taboo,टैबू,ताबू
taiboo,टैबू,ताब्बू
taobao,टैबू,ताबो
tonic,टॉनिक,टोनीक
tonga,टोंगा,टोंगा
toka,टोका,टोका
tuesday,ट्यूजडे,ट्यसदे
tuning,ट्यूनिंग,ट्यूनिंग
tuberculosis,ट्यूबरक्यूलोसिस,ट्यूबरसूलोसिस
tuberkyulosis,ट्यूबरक्यूलोसिस,तुबर्क्यूमोसिस
truck,ट्रक,ट्रुक
trangistor,ट्रांजिस्टर,ट्राजिज्टर
tranjister,ट्रांजिस्टर,ट्रांजिस्टर
transistor,ट्रांजिस्टर,ट्रांसिस्टर
transfer,ट्रान्सफर,ट्रांसफर
tribunal,ट्रिब्युनल,त्रिब्यूल
tribunal,ट्रिब्यूनल,त्रिब्यूल
trubyunal,ट्रिब्यूनल,तृक्युलाल
truth,ट्रुथ,तृथ
tuth,ट्रुथ,तूथ
traded,ट्रेडेड,ट्रेड्ड
trabal,ट्रेबल,ट्रेबल
trebal,ट्रेबल,ट्रेबल
trouble,ट्रेबल,ट्रबल
traip,ट्रैप,ट्रैप
trap,ट्रैप,ट्रेप
trot,ट्रॉट,ट्रॉट
trott,ट्रॉट,ट्रोट
thakkar,ठक्कर,ठक्कर
thakkr,ठक्कर,ठक्कर
thaharne,ठहरने,ठहरने
thahrane,ठहरने,ठहराने
theharne,ठहरने,ठहरने
thikane,ठिकाने,ठिकाने
thumari,ठुमरी,थूमारी
thumri,ठुमरी,थूमरी
theinga,ठेंगा,थेंगा
thenga,ठेंगा,ठेंगा
thengaa,ठेंगा,ठेंगा
daglas,डगलस,डगलास
douglas,डगलस,डोल्स
dabhara,डभरा,दाभारा
dabhra,डभरा,दाभरा
dabhoi,डभोई,दाभोई
dam,डम,डैम
dum,डम,डूम
darate,डराते,डरते
daratey,डराते,डरते
daravani,डरावनी,दरावणी
darawani,डरावनी,दरावानी
dravani,डरावनी,द्रवणी
down,डाउन,डाउन
daak,डाक,डाक
dak,डाक,डक
daka,डाका,डका
dabi,डाबी,दबी
dabolim,डाबोलिम,दबोलिम
dinosaur,डायनासोर,दिनोसौर
diaries,डायरीज,डायरिएस
dit,डिट,डित
depthiriya,डिप्थीरिया,दिप्थिरिया
diphtheria,डिप्थीरिया,दीप्ठेरिया
de,डीई,दे
dealership,डीलरशिप,डीलर्शिप
dvc,डीवीसी,डीवीसी
dubaana,डुबाना,दुबाना
dubana,डुबाना,दुबना
dubona,डुबोना,दुबोना
dulne,डुलने,डूलने
doonarpur,डूंगरपुर,दूनरपुर
doongarpur,डूंगरपुर,डूंरपुर
dungarpur,डूंगरपुर,दूंगरपुर
dungerpur,डूंगरपुर,डूंटरपुर
dubana,डूबना,दुबना
dubna,डूबना,दूबना
dangerous,डेंजरस,डेंगरूस
daisy,डेजी,दैस्य
dazy,डेजी,दाजी
deji,डेजी,देजी
deputy,डेप्युटी,डिप्टी
davidson,डेविडसन,द्विद्सों
devidson,डेविडसन,देविडसन
davey,डेवी,दवे
devi,डेवी,देवी
dewey,डेवी,देवे
destination,डेस्टिनेशन,डिस्टिनेशन
datson,डैटसन,दत्सन
datsun,डैटसन,दत्सन
daddy,डैडी,दद्द्य
dark,डॉर्क,डार्क
dork,डॉर्क,डोर्क
dose,डोज,डोस
domenic,डोमेनिक,डोमेनिक
doranda,डोरंडा,दोरंडा
dolane,डोलने,डोलाने
dolne,डोलने,डॉलने
dual,ड्युअल,डुएल
duak,ड्यूक,डुक
duke,ड्यूक,डूके
drame,ड्रामे,ड्रम
dramen,ड्रामे,ड्रमेन
drager,ड्रेजर,ड्रेजर
dredger,ड्रेजर,ड्रेजर
dreijer,ड्रेजर,ड्रेइजर
dhakaal,ढकाल,ढकाल
dhakal,ढकाल,ढकाल
dhakkal,ढकाल,ढक्काल
dhkal,ढकाल,ढकाल
dhale,ढले,ढाले
dhoondh,ढूंढ,धूंढ
dhundh,ढूंढ,धुंध
dhoondhata,ढूंढता,ढूंढटा
dhundhata,ढूंढता,ढूंढटा
dhundhta,ढूंढता,ढूंढटा
dhoondhi,ढूंढी,धूंढ़ी
dhundhi,ढूंढी,धुंधी
tanjavur,तंजावुर,तंजावूर
thanjavur,तंजावुर,तंजावूर
tantr,तंत्र,तंत्र
tantra,तंत्र,तंत्र
tantrikao,तंत्रिकाओं,तंत्रिकाओं
tantrikaon,तंत्रिकाओं,तंत्रिकाओं
tantro,तंत्रों,टंत्रो
tantron,तंत्रों,तंत्रों
tagade,तगड़े,तगड़े
tagde,तगड़े,तगडे
tadipaar,तड़ीपार,ताड़ीपार
tadipar,तड़ीपार,ताड़ीपर
tani,तनी,तनी
tapan,तपन,टपन
tarafa,तरफा,तराफा
tarfa,तरफा,ताफ्फा
tarabganj,तरबगंज,तरबगंज
taras,तरस,तारस
taraash,तराश,तराश
tarash,तराश,तराश
tarashay,तराशे,तराशय
tarashe,तराशे,तराशे
tareeko,तरीको,तरीको
tariko,तरीको,तरीको
tark,तर्क,तर्क
tarkvaad,तर्कवाद,तर्कवाद
tarkvad,तर्कवाद,तर्कवाद
tarkwaad,तर्कवाद,तर्कवाद
tarko,तर्कों,टारको
tarkon,तर्कों,तरकों
talabgaar,तलबगार,तलाबगार
talabgar,तलबगार,तलाबगार
talbagaar,तलबगार,तलबागार
talbagar,तलबगार,टालबागार
talawe,तलवे,तलावे
talve,तलवे,तलवे
talawon,तलवों,तलावों
talvon,तलवों,तलवों
tahakhana,तहखाना,तहखाना
tahkhaana,तहखाना,तहखाना
tahkhana,तहखाना,तहखाना
taantaa,तांता,टांटा
tanta,तांता,टांटता
tambe,तांबे,तंबे
tanbe,तांबे,टंबे
taaja,ताजा,ताजा
taajaa,ताजा,ताजा
taaza,ताजा,ताजा
taja,ताजा,ताजा
taza,ताजा,ताजा
tansen,तानसेन,टनसें
taapmaanon,तापमानों,तापमानों
tapmano,तापमानों,तापमानों
tapmanon,तापमानों,तापमानों
taapti,ताप्ती,तापती
tapti,ताप्ती,टापती
tarabai,ताराबाई,तराबाई
taseer,तासीर,तसीर
tasir,तासीर,तसीर
taahi,ताहि,ताही
tahi,ताहि,ताही
tikone,तिकोने,टीकोने
tirupati,तिरूपति,तिरुपति
tiwari,तिवारी,तिवाड़ी
ti,ती,टी
teer,तीर,टीर
tir,तीर,तीर
teeron,तीरों,टीरों
tiron,तीरों,तिरों
tirthatan,तीर्थाटन,तीर्थतान
tungnath,तुंगनाथ,तुंग्नाथ
tughlaq,तुगलक,तुघलाक
tuglak,तुगलक,तुग्लक
tughlakabad,तुगलकाबाद,तुघलाकाबाद
tughlaqabad,तुगलकाबाद,तुघलाकाबाद
tuglakabad,तुगलकाबाद,तुग्लाकाबाद
tugalaki,तुगलकी,तुगलाकि
tugalki,तुगलकी,तुगलकी
tuglaki,तुगलकी,तुग्लाकि
tufail,तुफैल,टूफैल
tejaji,तेजाजी,तेजाजी
teji,तेजी,तेज़ी
tel,तेल,टेल
telon,तेलों,टेलों
to,तो,टू
toh,तो,तो
taul,तौल,ताल
tyohaar,त्यौहार,त्योहार
tyohar,त्यौहार,त्योहार
tyoihar,त्यौहार,त्योहार
tyauharon,त्यौहारों,त्यौहारों
tyoharon,त्यौहारों,त्योहारों
tyoiharon,त्यौहारों,त्योहारों
trijata,त्रिजटा,त्रिजता
trijta,त्रिजटा,तृजता
triya,त्रिया,त्रिया
tremasik,त्रैमासिक,ट्रेमेशिक
trimasik,त्रैमासिक,त्रिमेशिक
tse,त्से,टीएसे
thaki,थकी,ठाकी
thki,थकी,थीकी
tharti,थर्टी,ठारती
thirty,थर्टी,थीर्टी
thane,थाणे,थाने
thaanvi,थानवी,थानवी
thanvi,थानवी,ठनवी
theateron,थिएटरों,थीटरों
theatron,थिएटरों,ठीटरों
theaters,थिएटर्स,टीटर्स
theater,थियेटर,थीटर
theatre,थियेटर,ठीटरे
theateron,थियेटरों,थीटरों
theatron,थियेटरों,ठीटरों
thitron,थियेटरों,थितरों
theaters,थियेटर्स,टीटर्स
theatrs,थियेटर्स,थीटर्स
thiyeters,थियेटर्स,थियेटर्स
thirake,थिरके,थिरके
thirke,थिरके,थिरके
thief,थीफ,थीफ
then,थेन,थें
theni,थेनी,थेनी
thailee,थैली,थाइली
thaili,थैली,थाइली
thaile,थैले,थाइले
dang,दंग,डैंग
danga,दंगा,डांगा
dangon,दंगों,डांगों
dampati,दंपति,दाम्पति
danpati,दंपति,डंपति
dampatiyon,दंपतियों,दंपतियों
dampattiyon,दंपतियों,दंपत्तियों
danptiyon,दंपतियों,दंपतियों
dadreva,ददरेवा,दद्रेवा
dadrewa,ददरेवा,दद्रेवा
damoh,दमोह,दमोह
dardara,दरदरा,दरदारा
dardraa,दरदरा,दर्दरा
durdhara,दरदरा,दूरधारा
darmiyaan,दरमियान,दारमियां
darmiyan,दरमियान,दारमियां
darjano,दर्जनों,दरजानों
darjanon,दर्जनों,दरजानों
darp,दर्प,डर्प
darra,दर्रा,डरा
dalbadal,दलबदल,दलबाल
dalbadl,दलबदल,डलबाल्ल
dali,दली,डाली
dastaanaa,दस्ताना,दस्ताना
dastana,दस्ताना,दस्ताना
dastavej,दस्तावेज,दस्तावेज़
dahan,दहन,दहान
dahal,दहल,दहाल
da,दा,डीए
daakhil,दाखिल,दाखिल
dakhil,दाखिल,दाखिल
daakhile,दाखिले,दाखिले
dakhile,दाखिले,दखिले
daataa,दाता,दाता
data,दाता,डाटा
dadari,दादरी,दादरी
daanshil,दानशील,दांशील
danshil,दानशील,डंशिल
daabholkar,दाभोलकर,दाभोलकर
dabholkar,दाभोलकर,दाभोलकर
damale,दामले,डमले
damle,दामले,डमले
dayitv,दायित्व,दायित्व
dayitva,दायित्व,दायित्व
dayitwa,दायित्व,दायित्व
dayitvon,दायित्वों,दायित्वों
dayityon,दायित्वों,दायित्यों
darul,दारूल,दारुल
daav,दाव,दाव
daaw,दाव,दाव
dav,दाव,डीएवी
daw,दाव,डॉ
daah,दाह,दाह
dah,दाह,दाह
dikhla,दिखला,दिखला
dikhlaa,दिखला,दिखला
dikhaaiye,दिखाइये,दिखाइए
dikhaiye,दिखाइये,दिखाइए
dikhaai,दिखाई,दिखाई
dikhai,दिखाई,दिखाई
dikhayi,दिखाई,दिखाई
dikhaaee,दिखाईं,दिखाई
dikhaai,दिखाईं,दिखाई
dikhaain,दिखाईं,दिखाएं
